,#,V,Source In,Source Out,Record In,Record Out,Name,Clip Directory,Duration TC,Frame Rate,Resolution,Video Codec,Audio Codec,Description,Comments,Keywords,Clip Color,Shot,Scene,Take,Flags,Camera #,Date Modified,File Type
1784,1778,A1,00:06:55:23,00:06:58:06,01:31:57:22,01:32:00:05,WNYC La Guardia on Pearl Harbor 19411207,/Volumes/RAID1/OPUW/Media/Archives/WNYC,00:08:36:19,0.000,,,Linear PCM,,,"OCD,Pearl Harbor,peur,blackout,radio,La Guardia",Navy,19411207,,WNYC Radio,Green,,Tue Jun  4 11:18:38 2019,aiff
1786,1780,A6,01:00:07:06,01:00:10:12,01:31:58:17,01:32:01:23,Whoosh 09 Long Breath A,/Volumes/RAID1/OPUW/Media/Sound FX/short,00:00:10:09,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Sun Jul  7 06:37:10 2019,wav
1787,1781,V1,00:08:01:13,00:08:02:37,01:31:59:15,01:32:01:00,mt-mtt-874hij,/Volumes/RAID1/OPUW/Media/Archives/National Archives/Michael 191105/Film Files_2019_11_3,00:11:05:12,60.000,720 x 480,H.264,AAC,,,"OCD,air raid,blackout",Navy,,VIS 7573,ADA DP (NARA),Cocoa;Green,,Tue Nov  5 06:49:32 2019,mp4
1789,1783,A7,00:00:21:19,00:00:26:09,01:31:59:15,01:32:04:05,"4-02 Crowd, Church Small Crowd Filing Into Church 2",/Volumes/RAID1/OPUW/Media/Sound FX/people,00:00:39:21,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed Feb 20 18:53:03 2019,wav
1790,1784,A8,00:00:12:09,00:00:20:10,01:32:00:00,01:32:08:01,gettyimages-509709227-640_adpp,/Volumes/RAID1/OPUW/Media/Archives/Getty,00:00:26:12,25.000,480 x 360,H.264,AAC,Description deleted (Tal),,"blackout,air raid,alarme,New York",Navy,1942,,Getty,,,Sat Jun 13 09:33:11 2020,mp4
1791,1785,A1,00:02:06:21,00:02:14:15,01:32:00:05,01:32:07:24,WNYC La Guardia on Pearl Harbor 19411207,/Volumes/RAID1/OPUW/Media/Archives/WNYC,00:08:36:19,0.000,,,Linear PCM,,,"OCD,Pearl Harbor,peur,blackout,radio,La Guardia",Navy,19411207,,WNYC Radio,Green,,Tue Jun  4 11:18:38 2019,aiff
1792,1786,V1,00:09:14:41,00:09:15:48,01:32:01:00,01:32:02:03,mt-mtt-874hij,/Volumes/RAID1/OPUW/Media/Archives/National Archives/Michael 191105/Film Files_2019_11_3,00:11:05:12,60.000,720 x 480,H.264,AAC,,,"OCD,air raid,blackout",Navy,,VIS 7573,ADA DP (NARA),Cocoa;Green,,Tue Nov  5 06:49:32 2019,mp4
1793,1787,V1,00:08:58:13,00:08:59:10,01:32:02:03,01:32:03:02,mt-mtt-874hij,/Volumes/RAID1/OPUW/Media/Archives/National Archives/Michael 191105/Film Files_2019_11_3,00:11:05:12,60.000,720 x 480,H.264,AAC,,,"OCD,air raid,blackout",Navy,,VIS 7573,ADA DP (NARA),Cocoa;Green,,Tue Nov  5 06:49:32 2019,mp4
1795,1789,V1,00:09:27:07,00:09:28:14,01:32:03:02,01:32:04:05,mt-mtt-874hij,/Volumes/RAID1/OPUW/Media/Archives/National Archives/Michael 191105/Film Files_2019_11_3,00:11:05:12,60.000,720 x 480,H.264,AAC,,,"OCD,air raid,blackout",Navy,,VIS 7573,ADA DP (NARA),Cocoa;Green,,Tue Nov  5 06:49:32 2019,mp4
1796,1790,V1,00:00:46:20,00:00:47:21,01:32:04:05,01:32:05:06,Air Raid Precautions In New York | AP Archive (1942),/Volumes/RAID1/OPUW/Media/Archives/AP,00:01:10:14,25.000,640 x 360,H.264,AAC,,,"New York,peur,blackout",Navy,1942,,Associated Press,,BM,Sun Jun  2 06:47:51 2019,mp4
1797,1791,V1,00:00:52:03,00:00:53:02,01:32:05:06,01:32:06:06,gettyimages-502798093-640_adpp,/Volumes/RAID1/OPUW/Media/Archives/Getty,00:01:37:03,29.970,480 x 360,H.264,AAC,Description deleted (Tal),,"New York ,blackout,OCD,peur",Navy,1942,,Getty,,,Sat Jun 13 09:44:24 2020,mp4
1798,1792,V1,00:00:57:26,00:00:59:00,01:32:06:06,01:32:07:10,gettyimages-502798093-640_adpp,/Volumes/RAID1/OPUW/Media/Archives/Getty,00:01:37:03,29.970,480 x 360,H.264,AAC,Description deleted (Tal),,"New York ,blackout,OCD,peur",Navy,1942,,Getty,,,Sat Jun 13 09:44:24 2020,mp4
1799,1793,V1,00:01:03:06,00:01:04:21,01:32:07:10,01:32:08:23,gettyimages-502798093-640_adpp,/Volumes/RAID1/OPUW/Media/Archives/Getty,00:01:37:03,29.970,480 x 360,H.264,AAC,Description deleted (Tal),,"New York ,blackout,OCD,peur",Navy,1942,,Getty,,,Sat Jun 13 09:44:24 2020,mp4
1800,1794,A5,01:00:00:00,01:00:08:00,01:32:07:10,01:32:15:10,Whoosh 24 Wind,/Volumes/RAID1/OPUW/Media/Sound FX/short,00:00:08:00,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Sun Jul  7 06:37:10 2019,wav
1801,1795,A3,00:00:04:14,00:00:25:20,01:32:07:24,01:32:29:05,Drone-Wind-02,/Volumes/RAID1/OPUW/Media/Sound FX/wind,00:01:30:07,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Mon Nov 27 13:03:31 2017,aif
1803,1797,A8,00:00:12:09,00:00:20:10,01:32:08:01,01:32:16:02,gettyimages-509709227-640_adpp,/Volumes/RAID1/OPUW/Media/Archives/Getty,00:00:26:12,25.000,480 x 360,H.264,AAC,Description deleted (Tal),,"blackout,air raid,alarme,New York",Navy,1942,,Getty,,,Sat Jun 13 09:33:11 2020,mp4
1804,1798,V1,00:00:40:14,00:00:42:09,01:32:08:23,01:32:10:19,gettyimages-502798093-640_adpp,/Volumes/RAID1/OPUW/Media/Archives/Getty,00:01:37:03,29.970,480 x 360,H.264,AAC,Description deleted (Tal),,"New York ,blackout,OCD,peur",Navy,1942,,Getty,,,Sat Jun 13 09:44:24 2020,mp4
1805,1799,A2,00:15:58:13,00:16:00:42,01:32:09:02,01:32:11:14,171-5,/Volumes/RAID1/OPUW/Media/Archives/National Archives/Michael 200202,00:18:18:54,60.000,720 x 480,H.264,AAC,,,"OCD,cinéma,pellicule,Manhattan,New York,blackout,U-Boots,amorce",Navy,,VIS 7581,ADA DP (NARA),Cocoa;Green,,Sun Feb  2 21:36:50 2020,mp4
1807,1801,A9,00:02:39:07,00:03:42:15,01:32:10:05,01:33:13:12,Blackout 02,/Volumes/RAID1/OPUW/Media/Musique/Tal,00:03:42:15,0.000,,,Linear PCM,,,musique,Olive,,,Musique Tal,Green,,Fri Nov  1 22:34:16 2019,aif
1808,1802,V1,00:01:23:25,00:01:25:23,01:32:10:19,01:32:12:18,gettyimages-502798093-640_adpp,/Volumes/RAID1/OPUW/Media/Archives/Getty,00:01:37:03,29.970,480 x 360,H.264,AAC,Description deleted (Tal),,"New York ,blackout,OCD,peur",Navy,1942,,Getty,,,Sat Jun 13 09:44:24 2020,mp4
1809,1803,A2,00:16:01:08,00:16:03:51,01:32:11:14,01:32:14:07,171-5,/Volumes/RAID1/OPUW/Media/Archives/National Archives/Michael 200202,00:18:18:54,60.000,720 x 480,H.264,AAC,,,"OCD,cinéma,pellicule,Manhattan,New York,blackout,U-Boots,amorce",Navy,,VIS 7581,ADA DP (NARA),Cocoa;Green,,Sun Feb  2 21:36:50 2020,mp4
1810,1804,V1,00:00:50:11,00:00:53:12,01:32:12:18,01:32:15:20,mt-mtt-563wx,/Volumes/RAID1/OPUW/Media/Archives/National Archives/Michael 191105/Film Files_2019_11_3,00:06:20:20,23.976,1920 x 1080,H.264,AAC,,,"Manhattan,blackout,nuit,Nazis,cinéma",Navy,,VIS 7571,ADA DP (NARA),Cocoa;Green,,Tue Nov  5 06:49:32 2019,mp4
1811,1805,A2,00:16:06:25,00:16:10:46,01:32:14:07,01:32:18:16,171-5,/Volumes/RAID1/OPUW/Media/Archives/National Archives/Michael 200202,00:18:18:54,60.000,720 x 480,H.264,AAC,,,"OCD,cinéma,pellicule,Manhattan,New York,blackout,U-Boots,amorce",Navy,,VIS 7581,ADA DP (NARA),Cocoa;Green,,Sun Feb  2 21:36:50 2020,mp4
1812,1806,V1,00:02:23:19,00:02:27:07,01:32:15:20,01:32:19:08,mt-mtt-563wx,/Volumes/RAID1/OPUW/Media/Archives/National Archives/Michael 191105/Film Files_2019_11_3,00:06:20:20,23.976,1920 x 1080,H.264,AAC,,,"Manhattan,blackout,nuit,Nazis,cinéma",Navy,,VIS 7571,ADA DP (NARA),Cocoa;Green,,Tue Nov  5 06:49:32 2019,mp4
1813,1807,A8,00:00:12:09,00:00:17:00,01:32:16:02,01:32:20:18,gettyimages-509709227-640_adpp,/Volumes/RAID1/OPUW/Media/Archives/Getty,00:00:26:12,25.000,480 x 360,H.264,AAC,Description deleted (Tal),,"blackout,air raid,alarme,New York",Navy,1942,,Getty,,,Sat Jun 13 09:33:11 2020,mp4
1815,1809,V1,00:00:07:02,00:00:07:02,01:32:19:08,01:32:27:02,New York Blackout 01,/Volumes/RAID1/OPUW/Media/After Effects/Renders,00:00:08:01,25.000,1920 x 1080,Apple ProRes 422 HQ,,,,,Chocolate,,AP_4205011275A,Associated Press,,,Fri Jan 24 11:58:36 2020,mov
1817,1811,V2,00:00:00:00,00:00:05:01,01:32:20:04,01:32:25:05,La Guardia Gas Masks 01,/Volumes/RAID1/OPUW/Media/After Effects/Renders,00:00:05:01,25.000,1920 x 1080,Apple ProRes 422 HQ,,,,,Chocolate,,,Document,,Presse,Sat Jan 25 21:02:36 2020,mov
1821,1815,A5,01:00:17:07,01:00:25:04,01:32:26:02,01:32:33:24,Hit 11 Universe Boom A,/Volumes/RAID1/OPUW/Media/Sound FX/hits,00:00:08:20,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Sun Jul  7 06:37:10 2019,wav
1822,1816,V1,00:00:38:22,00:00:43:09,01:32:27:02,01:32:31:14,221231-05,/Volumes/RAID1/OPUW/Media/Archives/Footage Farm/Donitz,00:08:14:03,25.000,720 x 540,H.264,AAC,,Existe chez INA AFE86001785,"Dönitz,U-Boots,Enigma",Navy,1941,,Footage Farm,Green,,Thu Jun 20 16:03:21 2019,mp4
1823,1817,A7,00:00:01:03,00:00:08:16,01:32:27:02,01:32:34:15,"6-89 Morse Code- Morse Code Beeps, Sending Telegraph Message Over Wireless 2",/Volumes/RAID1/OPUW/Media/Sound FX/teletype,00:00:17:08,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed Feb 20 18:53:03 2019,wav
1825,1819,A6,00:00:02:12,00:00:06:21,01:32:28:18,01:32:33:02,"8-85 Submarine, Sonar- Submarine Sonar Pings 1",/Volumes/RAID1/OPUW/Media/Sound FX/submarine,00:00:35:02,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed Feb 20 18:53:03 2019,wav
1826,1820,V1,00:00:00:00,00:00:03:01,01:32:31:14,01:32:34:15,Donitz Paukenschlag 01,/Volumes/RAID1/OPUW/Media/After Effects/Renders,00:00:04:01,25.000,1920 x 1080,Apple ProRes 422 HQ,,,,,Chocolate,,gettyimages-541065059,Getty,,,Fri Jan 24 14:27:45 2020,mov
1827,1821,V1,00:00:00:00,00:00:00:00,01:32:34:15,01:32:37:10,gettyimages-106753141-2048x[2048-2048],/Volumes/RAID1/OPUW/Media/Photos/Getty,00:00:00:01,25.000,2048 x 1424,JPEG,,Description deleted (Tal),,"U-Boots,Dönitz",Apricot,1942,,Getty,,,Sat Apr 18 17:29:40 2020,jpg
1829,1823,A6,00:01:15:18,00:01:22:23,01:32:36:08,01:32:43:13,8-75 Submarine- Long Approach And Dock Of Submarine General Dock Ambience,/Volumes/RAID1/OPUW/Media/Sound FX/submarine,00:04:00:18,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed Feb 20 18:53:03 2019,wav
1833,1827,A4,00:01:25:08,00:01:31:11,01:32:37:10,01:32:43:13,"35-09 Water, Lake Waves Coming In, Heavy",/Volumes/RAID1/OPUW/Media/Sound FX/water,00:02:03:16,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed May 27 19:10:05 2009,aif
1831,1825,V1,00:00:03:03,00:00:04:09,01:32:37:10,01:32:39:05,gettyimages-509851191-640_adpp,/Volumes/RAID1/OPUW/Media/Archives/Getty,00:00:10:05,25.000,480 x 360,H.264,AAC,Description deleted (Tal),,U-Boots,Navy,,,Getty,,,Sat Apr 18 17:32:35 2020,mp4
1834,1828,V1,00:00:05:00,00:00:06:20,01:32:39:05,01:32:41:00,gettyimages-509851191-640_adpp,/Volumes/RAID1/OPUW/Media/Archives/Getty,00:00:10:05,25.000,480 x 360,H.264,AAC,Description deleted (Tal),,U-Boots,Navy,,,Getty,,,Sat Apr 18 17:32:35 2020,mp4
1835,1829,A5,01:00:17:07,01:00:25:04,01:32:40:00,01:32:47:22,Hit 11 Universe Boom A,/Volumes/RAID1/OPUW/Media/Sound FX/hits,00:00:08:20,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Sun Jul  7 06:37:10 2019,wav
1836,1830,V1,00:00:00:00,00:00:02:13,01:32:41:00,01:32:43:13,gettyimages-509851195-640_adpp,/Volumes/RAID1/OPUW/Media/Archives/Getty,00:00:12:13,25.000,480 x 360,H.264,AAC,Description deleted (Tal),,U-Boots,Navy,,,Getty,,,Sat Apr 18 17:33:09 2020,mp4
1837,1831,A3,00:00:12:12,00:00:39:04,01:32:42:05,01:33:08:22,"10-20 Ocean, Light (Ocean Ambience_ Light Waves Seagulls Water)",/Volumes/RAID1/OPUW/Media/Sound FX/water,00:02:21:00,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Sun Nov  9 19:57:05 2008,aif
1839,1833,V1,00:00:00:00,00:00:00:00,01:32:43:13,01:32:45:24,FL007280_ibp,/Volumes/RAID1/OPUW/Media/Photos/French Lines/1/NORMANDIE_GENERAL,00:00:00:01,25.000,800 x 580,JPEG,,,,"Normandie,Manhattan",Apricot,,,French Lines,,,Mon Jul  8 16:08:20 2019,jpg
1841,1835,V1,00:00:00:00,00:00:05:01,01:32:45:24,01:32:51:00,Normandie Large Rotation 02,/Volumes/RAID1/OPUW/Media/After Effects/Renders,00:00:05:02,25.000,1920 x 1080,Apple ProRes 422 HQ,,,,,Chocolate,,NA_80-G-410223,NARA,,,Sat Apr 18 18:32:05 2020,mov
1842,1836,V1,00:00:00:00,00:00:00:00,01:32:51:00,01:32:54:11,306-NT-1304-D-xa,/Volumes/RAID1/OPUW/Media/Archives/National Archives/Michael 191229/Stills,00:00:00:01,25.000,3264 x 2448,JPEG,,,,"Normandie,équipage,hôtel",Apricot,,,NARA,Cocoa,,Sun Dec 29 18:26:50 2019,jpg
1844,1838,V1,03:27:53:06,03:27:54:23,01:32:54:11,01:32:56:03,21NUM469.Americans Rush Home From Scared Europe,/Volumes/RAID1/OPUW/Media/Archives/Lobster,00:00:26:03,25.000,1024 x 576,H.264,Linear PCM,,,"Normandie,saisie",Navy,,,Lobster,,,Thu Jul 30 13:56:30 2020,mov
1846,1840,V1,03:27:58:20,03:28:00:05,01:32:56:03,01:32:57:13,21NUM469.Americans Rush Home From Scared Europe,/Volumes/RAID1/OPUW/Media/Archives/Lobster,00:00:26:03,25.000,1024 x 576,H.264,Linear PCM,,,"Normandie,saisie",Navy,,,Lobster,,,Thu Jul 30 13:56:30 2020,mov
1847,1841,V1,03:27:45:13,03:27:46:24,01:32:57:13,01:32:59:05,21NUM469.Americans Rush Home From Scared Europe,/Volumes/RAID1/OPUW/Media/Archives/Lobster,00:00:26:03,25.000,1024 x 576,H.264,Linear PCM,,,"Normandie,saisie",Navy,,,Lobster,,,Thu Jul 30 13:56:30 2020,mov
1848,1842,A5,00:00:18:11,00:00:20:03,01:32:57:13,01:32:59:05,"6-86 Metal, Squeak- Several Creaky Metal Squeaks 2",/Volumes/RAID1/OPUW/Media/Sound FX/electric metal,00:00:34:05,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed Feb 20 18:53:03 2019,wav
1849,1843,V1,03:27:48:01,03:27:49:05,01:32:59:05,01:33:00:21,21NUM469.Americans Rush Home From Scared Europe,/Volumes/RAID1/OPUW/Media/Archives/Lobster,00:00:26:03,25.000,1024 x 576,H.264,Linear PCM,,,"Normandie,saisie",Navy,,,Lobster,,,Thu Jul 30 13:56:30 2020,mov
1850,1844,A6,00:00:28:15,00:00:31:08,01:32:59:05,01:33:01:23,"58 Metal, Squeak",/Volumes/RAID1/OPUW/Media/Sound FX/electric metal,00:00:52:23,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed May 27 18:49:24 2009,aif
1851,1845,A5,00:01:02:21,00:01:06:17,01:33:00:20,01:33:04:16,07 Door - Metal Door - 8 Versions X 3 Rooms,/Volumes/RAID1/OPUW/Media/Sound FX/foley,00:03:29:21,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Sun Nov  9 19:57:45 2008,aif
1852,1846,V1,00:12:14:24,00:12:16:24,01:33:00:21,01:33:03:15,TRA_12-008751_4B_vis_00000000_00340003,/Volumes/RAID1/OPUW/Media/Archives/Gaumont Pathé,00:34:00:03,25.000,640 x 486,H.264,AAC,Remplace French Lines,Remplacement de FL SS Normandie,"Normandie,luxe,inauguration,New York,gloire",Navy,,,GP,Green,Gaumont,Tue Jan 21 13:31:38 2020,mp4
1853,1847,V1,04:23:02:06,04:23:03:20,01:33:03:15,01:33:05:04,20 NUM472.Yesterday Big Story,/Volumes/RAID1/OPUW/Media/Archives/Lobster,00:00:31:12,25.000,1024 x 576,H.264,Linear PCM,,,"Normandie,saisie,Coast Guard",Navy,,,Lobster,,,Thu Jul 30 13:56:30 2020,mov
1854,1848,A6,01:00:17:07,01:00:21:24,01:33:04:04,01:33:08:22,Hit 11 Universe Boom A,/Volumes/RAID1/OPUW/Media/Sound FX/hits,00:00:08:20,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Sun Jul  7 06:37:10 2019,wav
1855,1849,V1,00:00:05:00,00:00:06:01,01:33:05:04,01:33:06:05,Notice of Taking 02,/Volumes/RAID1/OPUW/Media/After Effects/Renders,00:00:06:01,25.000,1920 x 1080,Apple ProRes 422 HQ,,,,,Chocolate,,5718,Document,,French Lines,Mon Jan 27 10:59:03 2020,mov
1856,1850,V1,00:00:05:00,00:00:06:01,01:33:06:05,01:33:07:06,Notice of Taking 02,/Volumes/RAID1/OPUW/Media/After Effects/Renders,00:00:06:01,25.000,1920 x 1080,Apple ProRes 422 HQ,,,,,Chocolate,,5718,Document,,French Lines,Mon Jan 27 10:59:03 2020,mov
1857,1851,V1,00:00:05:00,00:00:06:01,01:33:07:06,01:33:08:07,Notice of Taking 02,/Volumes/RAID1/OPUW/Media/After Effects/Renders,00:00:06:01,25.000,1920 x 1080,Apple ProRes 422 HQ,,,,,Chocolate,,5718,Document,,French Lines,Mon Jan 27 10:59:03 2020,mov
1859,1853,A7,01:00:17:07,01:00:21:24,01:33:07:23,01:33:12:16,Hit 11 Universe Boom A,/Volumes/RAID1/OPUW/Media/Sound FX/hits,00:00:08:20,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Sun Jul  7 06:37:10 2019,wav
1860,1854,A5,00:00:00:00,00:00:00:22,01:33:08:00,01:33:08:22,"5-65 Whoosh,scene changeb",/Volumes/RAID1/OPUW/Media/Sound FX/short,00:00:07:15,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Fri May  3 08:31:48 2019,wav
1861,1855,V1,00:00:05:00,00:00:05:15,01:33:08:07,01:33:08:22,Notice of Taking 02,/Volumes/RAID1/OPUW/Media/After Effects/Renders,00:00:06:01,25.000,1920 x 1080,Apple ProRes 422 HQ,,,,,Chocolate,,5718,Document,,French Lines,Mon Jan 27 10:59:03 2020,mov
1866,1860,A5,00:00:00:22,00:00:07:15,01:33:08:22,01:33:15:15,"5-65 Whoosh,scene changeb",/Volumes/RAID1/OPUW/Media/Sound FX/short,00:00:07:15,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Fri May  3 08:31:48 2019,wav
1864,1858,A3,00:01:13:04,00:01:41:01,01:33:08:22,01:33:36:19,90 Office Environment - Medium Busy - Typewriters - Telephones,/Volumes/RAID1/OPUW/Media/Sound FX/office,00:02:31:02,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Mon Mar  9 18:21:33 2009,aif
1865,1859,A4,00:00:11:17,00:00:44:16,01:33:08:22,01:33:41:21,9-50 Old Office Teletype 1,/Volumes/RAID1/OPUW/Media/Sound FX/teletype,00:00:49:09,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed Feb 20 18:53:03 2019,wav
1863,1857,V2,00:00:06:24,00:00:13:22,01:33:08:22,01:33:15:20,200312 SEQ - TELEGRAMME,/Volumes/RAID1/OPUW/Media/Habillage/SEQ Télégrammes s'envolent,00:00:53:19,25.000,1920 x 1080,H.264,AAC,,,,,,,Export,,,Thu Mar 12 18:15:14 2020,mp4
1862,1856,V1,00:00:00:00,00:00:05:18,01:33:08:22,01:33:14:15,Normandie volé par les Américains 02,/Volumes/RAID1/OPUW/Media/After Effects/Renders,00:00:07:01,25.000,1920 x 1080,Apple ProRes 422 HQ,,,,,Chocolate,,,Document,,Presse,Sat Jan 25 12:38:38 2020,mov
1868,1862,V1,00:00:03:02,00:00:04:06,01:33:14:15,01:33:15:19,gettyimages-509675099-640_adpp,/Volumes/RAID1/OPUW/Media/Archives/Getty,00:00:16:01,25.000,480 x 360,H.264,AAC,Description deleted (Tal),,"teletype,Navy",Navy,,,Getty,,,Sat Jan 25 09:52:22 2020,mp4
1869,1863,A6,00:00:40:16,00:00:41:07,01:33:15:15,01:33:16:06,Typewriter Manual,/Volumes/RAID1/OPUW/Media/Sound FX/teletype,00:00:43:23,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Tue Feb 12 23:21:36 2008,caf
1870,1864,V1,00:04:24:10,00:04:25:22,01:33:15:19,01:33:17:06,nada1052-ada4486_vis_01051600_01135500,/Volumes/RAID1/OPUW/Media/Archives/ADA,00:08:39:13,25.000,640 x 524,H.264,AAC,,,"teletype,passeport,bureau",Navy,,,Atelier des archives,,DP,Sat Jan 25 09:44:22 2020,mp4
1871,1865,A6,00:00:00:21,00:00:14:09,01:33:16:06,01:33:29:20,Typewriter Manual,/Volumes/RAID1/OPUW/Media/Sound FX/teletype,00:00:43:23,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Tue Feb 12 23:21:36 2008,caf
1873,1867,V1,00:00:00:00,00:00:12:11,01:33:17:06,01:33:29:17,Télégramme De Gaulle Quéguiner 01,/Volumes/RAID1/OPUW/Media/After Effects/Renders,00:00:15:01,25.000,1920 x 1080,Apple ProRes 422 HQ,,,,,Chocolate,,P1776,Document,,CADC,Sat Jan 25 09:30:49 2020,mov
1874,1868,V2,00:00:15:08,00:00:27:19,01:33:17:06,01:33:29:17,200312 SEQ - TELEGRAMME,/Volumes/RAID1/OPUW/Media/Habillage/SEQ Télégrammes s'envolent,00:00:53:19,25.000,1920 x 1080,H.264,AAC,,,,,,,Export,,,Thu Mar 12 18:15:14 2020,mp4
1876,1870,A5,01:00:00:05,01:00:02:12,01:33:23:20,01:33:26:02,Whoosh 15 Quick A,/Volumes/RAID1/OPUW/Media/Sound FX/short,00:00:02:12,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Sun Jul  7 06:37:10 2019,wav
1877,1871,V1,00:00:02:20,00:00:03:12,01:33:29:17,01:33:30:09,gettyimages-509689027-640_adpp,/Volumes/RAID1/OPUW/Media/Archives/Getty,00:00:19:14,25.000,480 x 360,H.264,AAC,Description deleted (Tal),,teletype,Navy,,,Getty,,,Sat Jan 25 09:50:44 2020,mp4
1878,1872,A5,00:00:14:16,00:00:15:08,01:33:29:17,01:33:30:09,87 Paper - block - pad - tearing paper - 6 versions - office,/Volumes/RAID1/OPUW/Media/Sound FX/foley,00:00:30:18,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Fri Jun  6 17:05:32 2008,aif
1879,1873,A6,00:00:10:15,00:00:16:12,01:33:30:07,01:33:36:05,"6-88 Morse Code- Morse Code Beeps, Sending Telegraph Message Over Wireless 1",/Volumes/RAID1/OPUW/Media/Sound FX/teletype,00:00:19:10,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed Feb 20 18:53:03 2019,wav
1880,1874,V1,00:00:12:01,00:00:13:02,01:33:30:09,01:33:31:10,gettyimages-509675099-640_adpp,/Volumes/RAID1/OPUW/Media/Archives/Getty,00:00:16:01,25.000,480 x 360,H.264,AAC,Description deleted (Tal),,"teletype,Navy",Navy,,,Getty,,,Sat Jan 25 09:52:22 2020,mp4
1882,1876,V1,00:07:53:09,00:07:54:09,01:33:31:10,01:33:32:10,nada1052-ada4486_vis_01051600_01135500,/Volumes/RAID1/OPUW/Media/Archives/ADA,00:08:39:13,25.000,640 x 524,H.264,AAC,,,"teletype,passeport,bureau",Navy,,,Atelier des archives,,DP,Sat Jan 25 09:44:22 2020,mp4
1883,1877,V1,00:00:00:00,00:00:03:22,01:33:32:10,01:33:36:07,Télégramme Inventories Start Immediately 01,/Volumes/RAID1/OPUW/Media/After Effects/Renders,00:00:04:01,25.000,1920 x 1080,Apple ProRes 422 HQ,,,,,Chocolate,,,Document,,Polak,Sat Jan 25 10:07:54 2020,mov
1884,1878,V2,00:00:30:12,00:00:34:09,01:33:32:10,01:33:36:07,200312 SEQ - TELEGRAMME,/Volumes/RAID1/OPUW/Media/Habillage/SEQ Télégrammes s'envolent,00:00:53:19,25.000,1920 x 1080,H.264,AAC,,,,,,,Export,,,Thu Mar 12 18:15:14 2020,mp4
1885,1879,A5,00:00:40:06,00:00:49:24,01:33:36:06,01:33:45:24,39 Typewriter - Manual - Write - Paper Out - Office,/Volumes/RAID1/OPUW/Media/Sound FX/teletype,00:00:58:08,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Mon Mar  9 18:18:55 2009,aif
1886,1880,V1,00:00:06:14,00:00:07:06,01:33:36:07,01:33:36:24,gettyimages-509677925-640_adpp,/Volumes/RAID1/OPUW/Media/Archives/Getty,00:00:13:22,25.000,480 x 360,H.264,AAC,Description deleted (Tal),,teletype,Navy,,,Getty,,,Sat Jan 25 09:50:09 2020,mp4
1887,1881,A3,00:01:13:04,00:01:24:02,01:33:36:19,01:33:47:17,90 Office Environment - Medium Busy - Typewriters - Telephones,/Volumes/RAID1/OPUW/Media/Sound FX/office,00:02:31:02,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Mon Mar  9 18:21:33 2009,aif
1888,1882,V1,00:04:23:17,00:04:24:04,01:33:36:24,01:33:37:14,"Scenes of Washington DC, and people working inside various Federal buildings and government offices in Washington DC.",/Volumes/RAID1/OPUW/Media/Archives/Critical Past,00:04:37:21,29.970,640 x 360,H.264,AAC,Public enemy number one. Cinéma.,,"Washington,OWI,FDR,Luciano,FBI,Congrès,War Department,typewriter,teletype",Navy,1943,,Critical Past,Green,,Fri Jun 28 16:39:49 2019,mp4
1889,1883,V1,00:00:05:18,00:00:06:13,01:33:37:14,01:33:38:09,gettyimages-1076831306-640_adpp,/Volumes/RAID1/OPUW/Media/Archives/Getty,00:00:18:01,23.976,640 x 360,H.264,AAC,Description deleted (Tal),,"teletype,Pearl Harbor",Navy,,,Getty,,,Sat Jan 25 09:51:52 2020,mp4
